code,label,path
103041,Astroteilchenphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Astroteilchenphysik"
103005,Atomphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Atomphysik"
103006,Chemische Physik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Chemische Physik"
103043,Computational Physics,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Computational Physics"
103007,Dosimetrie,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Dosimetrie"
103042,Elektronenmikroskopie,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Elektronenmikroskopie"
103008,Experimentalphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Experimentalphysik"
103009,Festkörperphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Festkörperphysik"
103010,Geschichte der Physik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Geschichte der Physik"
103011,Halbleiterphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Halbleiterphysik"
103012,Hochenergiephysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Hochenergiephysik"
103013,Ionenphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Ionenphysik"
103014,Kernphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Kernphysik"
103015,Kondensierte Materie,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Kondensierte Materie"
103044,Kosmologie,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Kosmologie"
103016,Laserphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Laserphysik"
103017,Magnetismus,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Magnetismus"
103018,Materialphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Materialphysik"
103019,Mathematische Physik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Mathematische Physik"
103020,Oberflächenphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Oberflächenphysik"
103021,Optik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Optik"
103040,Photonik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Photonik"
103022,Plasmaphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Plasmaphysik"
103023,Polymerphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Polymerphysik"
103024,Quantenfeldtheorie,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Quantenfeldtheorie"
103025,Quantenmechanik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Quantenmechanik"
103026,Quantenoptik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Quantenoptik"
103027,Reaktorphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Reaktorphysik"
103028,Relativitätstheorie,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Relativitätstheorie"
103029,Statistische Physik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Statistische Physik"
103030,Strahlenphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Strahlenphysik"
103031,Strahlenschutz (302079),"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Strahlenschutz (302079)"
103032,Strömungslehre,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Strömungslehre"
103033,Supraleitung,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Supraleitung"
103034,Teilchenphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Teilchenphysik"
103035,Theoretische Mechanik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Theoretische Mechanik"
103036,Theoretische Physik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Theoretische Physik"
103037,Umweltphysik,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Umweltphysik"
103038,Weltraumforschung,"Naturwissenschaften > Physik, Astronomie > Physik, Astronomie > Weltraumforschung"
104001,Allgemeine Chemie,Naturwissenschaften > Chemie > Chemie > Allgemeine Chemie
104002,Analytische Chemie,Naturwissenschaften > Chemie > Chemie > Analytische Chemie
104003,Anorganische Chemie,Naturwissenschaften > Chemie > Chemie > Anorganische Chemie
104004,Chemische Biologie,Naturwissenschaften > Chemie > Chemie > Chemische Biologie
104027,Computational Chemistry,Naturwissenschaften > Chemie > Chemie > Computational Chemistry
104005,Elektrochemie,Naturwissenschaften > Chemie > Chemie > Elektrochemie
104006,Festkörperchemie,Naturwissenschaften > Chemie > Chemie > Festkörperchemie
104007,Geschichte der Chemie,Naturwissenschaften > Chemie > Chemie > Geschichte der Chemie
104008,Katalyse,Naturwissenschaften > Chemie > Chemie > Katalyse
104009,Lebensmittelchemie,Naturwissenschaften > Chemie > Chemie > Lebensmittelchemie
104010,Makromolekulare Chemie,Naturwissenschaften > Chemie > Chemie > Makromolekulare Chemie
104011,Materialchemie,Naturwissenschaften > Chemie > Chemie > Materialchemie
104012,Mikroanalyse,Naturwissenschaften > Chemie > Chemie > Mikroanalyse
104013,Naturstoffchemie,Naturwissenschaften > Chemie > Chemie > Naturstoffchemie
104014,Oberflächenchemie,Naturwissenschaften > Chemie > Chemie > Oberflächenchemie
104015,Organische Chemie,Naturwissenschaften > Chemie > Chemie > Organische Chemie
104016,Photochemie,Naturwissenschaften > Chemie > Chemie > Photochemie
104017,Physikalische Chemie,Naturwissenschaften > Chemie > Chemie > Physikalische Chemie
104018,Polymerchemie,Naturwissenschaften > Chemie > Chemie > Polymerchemie
104019,Polymerwissenschaften,Naturwissenschaften > Chemie > Chemie > Polymerwissenschaften
104020,Radiochemie,Naturwissenschaften > Chemie > Chemie > Radiochemie
104024,Röntgenstrukturanalyse,Naturwissenschaften > Chemie > Chemie > Röntgenstrukturanalyse
104025,Single-Molecule Chemistry,Naturwissenschaften > Chemie > Chemie > Single-Molecule Chemistry
104026,Spektroskopie,Naturwissenschaften > Chemie > Chemie > Spektroskopie
104021,Strukturchemie,Naturwissenschaften > Chemie > Chemie > Strukturchemie
104022,Theoretische Chemie,Naturwissenschaften > Chemie > Chemie > Theoretische Chemie
104023,Umweltchemie,Naturwissenschaften > Chemie > Chemie > Umweltchemie
105101,Allgemeine Geologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Allgemeine Geologie"
105102,Allgemeine Geophysik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Allgemeine Geophysik"
105126,Angewandte Geophysik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Angewandte Geophysik"
105103,Erdölgeologie (207306),"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Erdölgeologie (207306)"
105104,Erosion,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Erosion"
105105,Geochemie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geochemie"
105127,Geochronologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geochronologie"
105106,Geodynamik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geodynamik"
105107,Geoelektrik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geoelektrik"
105128,Geomikrobiologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geomikrobiologie"
105108,Geostatistik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geostatistik"
105109,Geothermik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geothermik"
105110,Geschichte der Geologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Geschichte der Geologie"
105111,Gravimetrie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Gravimetrie"
105112,Historische Geologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Historische Geologie"
105113,Kristallographie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Kristallographie"
105114,Kulturgeologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Kulturgeologie"
105115,Magnetik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Magnetik"
105116,Mineralogie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Mineralogie"
105117,Paläobotanik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Paläobotanik"
105118,Paläontologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Paläontologie"
105119,Petrographie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Petrographie"
105120,Petrologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Petrologie"
105125,Petrophysik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Petrophysik"
105121,Sedimentologie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Sedimentologie"
105122,Seismik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Seismik"
105123,Stratigraphie,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Stratigraphie"
105124,Tektonik,"Naturwissenschaften > Geowissenschaften > Geologie, Mineralogie > Tektonik"
105201,Aeronomie,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Aeronomie"
105202,Agrarmeteorologie,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Agrarmeteorologie"
105208,Atmosphärenchemie,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Atmosphärenchemie"
105203,Bioklimatologie,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Bioklimatologie"
105207,Gebirgsmeteorologie,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Gebirgsmeteorologie"
105204,Klimatologie,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Klimatologie"
105205,Klimawandel,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Klimawandel"
105206,Meteorologie,"Naturwissenschaften > Geowissenschaften > Meteorologie, Klimatologie > Meteorologie"
105301,Gewässerschutz,Naturwissenschaften > Geowissenschaften > Hydrologie > Gewässerschutz
105302,Hydrochemie,Naturwissenschaften > Geowissenschaften > Hydrologie > Hydrochemie
105303,Hydrogeologie,Naturwissenschaften > Geowissenschaften > Hydrologie > Hydrogeologie
105304,Hydrologie,Naturwissenschaften > Geowissenschaften > Hydrologie > Hydrologie
105305,Hydrometrie,Naturwissenschaften > Geowissenschaften > Hydrologie > Hydrometrie
105306,Ozeanographie,Naturwissenschaften > Geowissenschaften > Hydrologie > Ozeanographie
105307,Wassergüte,Naturwissenschaften > Geowissenschaften > Hydrologie > Wassergüte
105308,Wasserressourcen,Naturwissenschaften > Geowissenschaften > Hydrologie > Wasserressourcen
105401,Biogeographie,Naturwissenschaften > Geowissenschaften > Physische Geographie > Biogeographie
105402,Bodengeographie,Naturwissenschaften > Geowissenschaften > Physische Geographie > Bodengeographie
105403,"Geoinformatik (207404, 507003)","Naturwissenschaften > Geowissenschaften > Physische Geographie > Geoinformatik (207404, 507003)"
105404,Geomorphologie,Naturwissenschaften > Geowissenschaften > Physische Geographie > Geomorphologie
105405,Geoökologie,Naturwissenschaften > Geowissenschaften > Physische Geographie > Geoökologie
105406,Geschichte der Geographie (507004),Naturwissenschaften > Geowissenschaften > Physische Geographie > Geschichte der Geographie (507004)
105407,"Kartographie (207406, 507028)","Naturwissenschaften > Geowissenschaften > Physische Geographie > Kartographie (207406, 507028)"
105408,Physische Geographie,Naturwissenschaften > Geowissenschaften > Physische Geographie > Physische Geographie
105409,Topographie,Naturwissenschaften > Geowissenschaften > Physische Geographie > Topographie
105901,Glaziologie,Naturwissenschaften > Geowissenschaften > Sonstige und Interdisziplinäre > Glaziologie
105902,Naturgefahren,Naturwissenschaften > Geowissenschaften > Sonstige und Interdisziplinäre > Naturgefahren
105907,Polarforschung,Naturwissenschaften > Geowissenschaften > Sonstige und Interdisziplinäre > Polarforschung
105903,Speläologie,Naturwissenschaften > Geowissenschaften > Sonstige und Interdisziplinäre > Speläologie
105904,Umweltforschung,Naturwissenschaften > Geowissenschaften > Sonstige und Interdisziplinäre > Umweltforschung
105906,Umweltgeowissenschaften,Naturwissenschaften > Geowissenschaften > Sonstige und Interdisziplinäre > Umweltgeowissenschaften
105905,Umweltschutz,Naturwissenschaften > Geowissenschaften > Sonstige und Interdisziplinäre > Umweltschutz
106011,"3R (Replacement, Reduction, Refinement von Tierversuchen)","Naturwissenschaften > Biologie > Biologie > 3R (Replacement, Reduction, Refinement von Tierversuchen)"
106055,Aerobiologie,Naturwissenschaften > Biologie > Biologie > Aerobiologie
106001,Allgemeine Biologie,Naturwissenschaften > Biologie > Biologie > Allgemeine Biologie
106002,Biochemie,Naturwissenschaften > Biologie > Biologie > Biochemie
106003,Biodiversitätsforschung,Naturwissenschaften > Biologie > Biologie > Biodiversitätsforschung
106004,Bioethik,Naturwissenschaften > Biologie > Biologie > Bioethik
106005,Bioinformatik (102004),Naturwissenschaften > Biologie > Biologie > Bioinformatik (102004)
106056,Biologische Anthropologie,Naturwissenschaften > Biologie > Biologie > Biologische Anthropologie
106006,Biophysik,Naturwissenschaften > Biologie > Biologie > Biophysik
106007,Biostatistik,Naturwissenschaften > Biologie > Biologie > Biostatistik
106058,Bodenbiologie,Naturwissenschaften > Biologie > Biologie > Bodenbiologie
106008,Botanik,Naturwissenschaften > Biologie > Biologie > Botanik
106009,Chronobiologie,Naturwissenschaften > Biologie > Biologie > Chronobiologie
106010,Entwicklungsbiologie,Naturwissenschaften > Biologie > Biologie > Entwicklungsbiologie
106012,Evolutionsforschung,Naturwissenschaften > Biologie > Biologie > Evolutionsforschung
106013,Genetik,Naturwissenschaften > Biologie > Biologie > Genetik
106014,Genomik,Naturwissenschaften > Biologie > Biologie > Genomik
106015,Geobotanik,Naturwissenschaften > Biologie > Biologie > Geobotanik
106016,Geschichte der Biologie,Naturwissenschaften > Biologie > Biologie > Geschichte der Biologie
106017,Glykobiologie,Naturwissenschaften > Biologie > Biologie > Glykobiologie
106018,Humanbiologie,Naturwissenschaften > Biologie > Biologie > Humanbiologie
106019,Hydrobiologie,Naturwissenschaften > Biologie > Biologie > Hydrobiologie
106020,Limnologie,Naturwissenschaften > Biologie > Biologie > Limnologie
106021,Meeresbiologie,Naturwissenschaften > Biologie > Biologie > Meeresbiologie
106057,Metabolomik,Naturwissenschaften > Biologie > Biologie > Metabolomik
106022,Mikrobiologie,Naturwissenschaften > Biologie > Biologie > Mikrobiologie
106059,Mikrobiomforschung,Naturwissenschaften > Biologie > Biologie > Mikrobiomforschung
106023,Molekularbiologie,Naturwissenschaften > Biologie > Biologie > Molekularbiologie
106024,Mykologie,Naturwissenschaften > Biologie > Biologie > Mykologie
106025,Neurobiologie (301402),Naturwissenschaften > Biologie > Biologie > Neurobiologie (301402)
106026,Ökosystemforschung,Naturwissenschaften > Biologie > Biologie > Ökosystemforschung
106027,Ökotoxikologie,Naturwissenschaften > Biologie > Biologie > Ökotoxikologie
106028,Pflanzenanatomie,Naturwissenschaften > Biologie > Biologie > Pflanzenanatomie
106029,Pflanzenmorphologie,Naturwissenschaften > Biologie > Biologie > Pflanzenmorphologie
106030,Pflanzenökologie,Naturwissenschaften > Biologie > Biologie > Pflanzenökologie
106031,Pflanzenphysiologie,Naturwissenschaften > Biologie > Biologie > Pflanzenphysiologie
106032,Photobiologie,Naturwissenschaften > Biologie > Biologie > Photobiologie
106033,Phylogenie,Naturwissenschaften > Biologie > Biologie > Phylogenie
106034,Phytochemie,Naturwissenschaften > Biologie > Biologie > Phytochemie
106035,Phytogeographie,Naturwissenschaften > Biologie > Biologie > Phytogeographie
106036,Populationsgenetik,Naturwissenschaften > Biologie > Biologie > Populationsgenetik
106037,Proteomik,Naturwissenschaften > Biologie > Biologie > Proteomik
106038,Reproduktionsbiologie,Naturwissenschaften > Biologie > Biologie > Reproduktionsbiologie
106039,Stammzellenforschung,Naturwissenschaften > Biologie > Biologie > Stammzellenforschung
106040,Strahlenbiologie,Naturwissenschaften > Biologie > Biologie > Strahlenbiologie
106041,Strukturbiologie,Naturwissenschaften > Biologie > Biologie > Strukturbiologie
106042,Systematische Botanik,Naturwissenschaften > Biologie > Biologie > Systematische Botanik
106043,Systematische Zoologie,Naturwissenschaften > Biologie > Biologie > Systematische Zoologie
106044,Systembiologie,Naturwissenschaften > Biologie > Biologie > Systembiologie
106045,Theoretische Biologie,Naturwissenschaften > Biologie > Biologie > Theoretische Biologie
106046,Tieranatomie,Naturwissenschaften > Biologie > Biologie > Tieranatomie
106060,Tierethik,Naturwissenschaften > Biologie > Biologie > Tierethik
106047,Tierökologie,Naturwissenschaften > Biologie > Biologie > Tierökologie
106048,Tierphysiologie,Naturwissenschaften > Biologie > Biologie > Tierphysiologie
106049,Ultrastrukturforschung,Naturwissenschaften > Biologie > Biologie > Ultrastrukturforschung
106050,Vegetationskunde,Naturwissenschaften > Biologie > Biologie > Vegetationskunde
106051,Verhaltensbiologie,Naturwissenschaften > Biologie > Biologie > Verhaltensbiologie
106052,Zellbiologie (301114),Naturwissenschaften > Biologie > Biologie > Zellbiologie (301114)
106053,Zoogeographie,Naturwissenschaften > Biologie > Biologie > Zoogeographie
106054,Zoologie,Naturwissenschaften > Biologie > Biologie > Zoologie
107008,Archäobotanik,Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Archäobotanik
107001,Archäometrie,Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Archäometrie
107009,Archäozoologie,Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Archäozoologie
107002,Bionik (211905),Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Bionik (211905)
107010,Geoarchäologie,Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Geoarchäologie
107003,Geschichte der Naturwissenschaften,Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Geschichte der Naturwissenschaften
107004,Humanökologie,Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Humanökologie
107005,Lebensmitteluntersuchung (402009),Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Lebensmitteluntersuchung (402009)
107006,Naturschutz,Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Naturschutz
107007,Risikoforschung (211914),Naturwissenschaften > Andere Naturwissenschaften > Andere Naturwissenschaften > Risikoforschung (211914)
201101,Baubetrieb,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Baubetrieb
201102,Baudynamik,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Baudynamik
201131,Baugeschichte,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Baugeschichte
201103,Bauphysik,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Bauphysik
